Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
7052,07/10/20,8:00 AM,Andaman and Nicobar Islands,-,-,3678,54,3912
7053,07/10/20,8:00 AM,Andhra Pradesh,-,-,672479,6052,729307
7054,07/10/20,8:00 AM,Arunachal Pradesh,-,-,7965,20,11007
7055,07/10/20,8:00 AM,Assam,-,-,155077,778,188902
7056,07/10/20,8:00 AM,Bihar,-,-,178395,925,190740
7057,07/10/20,8:00 AM,Chandigarh,-,-,11035,180,12707
7058,07/10/20,8:00 AM,Chhattisgarh,-,-,100551,1104,128893
7059,07/10/20,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,-,-,3000,2,3103
7060,07/10/20,8:00 AM,Delhi,-,-,266935,5581,295236
7061,07/10/20,8:00 AM,Goa,-,-,31050,468,36238
7062,07/10/20,8:00 AM,Gujarat,-,-,125111,3519,145200
7063,07/10/20,8:00 AM,Haryana,-,-,123286,1509,136115
7064,07/10/20,8:00 AM,Himachal Pradesh,-,-,12918,229,16283
7065,07/10/20,8:00 AM,Jammu and Kashmir,-,-,65496,1268,80476
7066,07/10/20,8:00 AM,Jharkhand,-,-,78089,757,88873
7067,07/10/20,8:00 AM,Karnataka,-,-,533074,9461,657705
7068,07/10/20,8:00 AM,Kerala,-,-,154092,884,242799
7069,07/10/20,8:00 AM,Ladakh,-,-,3464,61,4720
7070,07/10/20,8:00 AM,Madhya Pradesh,-,-,118039,2488,138668
7071,07/10/20,8:00 AM,Maharashtra,-,-,1179726,38717,1465911
7072,07/10/20,8:00 AM,Manipur,-,-,9482,78,12240
7073,07/10/20,8:00 AM,Meghalaya,-,-,4606,60,7037
7074,07/10/20,8:00 AM,Mizoram,-,-,1887,0,2148
7075,07/10/20,8:00 AM,Nagaland,-,-,5460,17,6662
7076,07/10/20,8:00 AM,Odisha,-,-,210217,940,238003
7077,07/10/20,8:00 AM,Puducherry,-,-,24614,546,29682
7078,07/10/20,8:00 AM,Punjab,-,-,104355,3679,120016
7079,07/10/20,8:00 AM,Rajasthan,-,-,125448,1574,148316
7080,07/10/20,8:00 AM,Sikkim,-,-,2587,49,3216
7081,07/10/20,8:00 AM,Tamil Nadu,-,-,575212,9917,630408
7082,07/10/20,8:00 AM,Telengana,-,-,177008,1189,204748
7083,07/10/20,8:00 AM,Tripura,-,-,22623,301,27545
7084,07/10/20,8:00 AM,Uttarakhand,-,-,43238,677,52329
7085,07/10/20,8:00 AM,Uttar Pradesh,-,-,370753,6153,420937
7086,07/10/20,8:00 AM,West Bengal,-,-,243743,5318,277049
